afghanistan,33.93911,67.709953,1348.570267026703,101
algerie,28.033886,1.659626,559.5548076923077,26
allemagne,51.165691,10.451526,1562.7954040736104,234
argentine,-38.416097,-63.616672,1393.9634217345156,32
australie,-25.274398,133.775136,1307.5791213430016,335
autriche,47.516231,14.550072,1744.2015072805984,55
bahamas,25.03428,-77.39628,861.1748601978,182
bangladesh,23.684994,90.356331,2028.9457511158087,172
belgique,50.503887,4.469936,1649.4699786324784,52
bermudes,32.321384,-64.75737,607.3759018759018,55
bresil,-14.235004,-51.92528,819.2790827228324,96
cambodge,12.565679,104.990963,611.1610294117646,34
canada,56.130366,-106.346771,1117.4224810744809,235
chili,-35.675147,-71.542969,612.7272169749442,77
chine,35.86166,104.195397,1468.6087411862882,766
colombie,4.570868,-74.297333,1690.8770517855567,97
cuba,21.521757,-77.781167,687.3394911147931,331
dominique,15.414999,-61.370976,581.8425316828766,145
egypte,26.820553,30.802498,365.5917730880231,40
equateur,-1.831239,-78.183406,816.5026123266978,82
espagne,40.463667,-3.74922,829.731344091232,134
fidji,-16.578193,179.414413,1187.7478003193387,65
france,46.227638,2.213749,979.5078232538266,1864
georgie,42.315407,43.356892,660.5158612537559,114
grece,39.074208,21.824312,610.0504834884147,87
grenade,12.262776,-61.604171,751.8346359558317,46
guadeloupe,16.995971,-62.067641,884.691267066267,325
guatemala,15.783471,-90.230759,1349.8996239177488,80
guinee,9.945587,-9.696645,563.5882703081234,34
haiti,18.971187,-72.285215,1211.2863718681403,506
honduras,15.199999,-86.241905,1093.6344766344766,72
hongrie,47.162494,19.503304,1356.2818642350555,47
inde,20.593684,78.96288,1584.356697047244,365
indonesie,-0.789275,113.921327,1721.2638971560848,144
irlande,53.41291,-8.24389,740.9954545454545,44
israel,31.046051,34.851612,1450.4528113123188,71
italie,41.87194,12.56738,830.8944923040874,263
jamaique,18.109581,-77.297508,538.1302015250544,102
japon,36.204824,138.252924,1094.5632924316178,885
koweit,29.31166,47.481766,980.7656994047619,32
luxembourg,49.815273,6.129583,1047.7999255952382,32
madagascar,-18.766947,46.869107,1837.3713782696177,71
malaisie,4.210484,101.975766,843.1529405779404,39
mali,17.570692,-3.996166,1059.834595959596,28
maroc,31.791702,-7.09262,750.2484920634919,30
martinique,14.641528,-61.024174,1045.3394790093628,215
maurice,-20.348404,57.552152,671.5429566810001,46
mexique,23.634501,-102.552784,925.2833027713025,615
monaco,43.750298,7.412841,425.837493256098,43
myanmar,21.913965,95.956223,1003.4612068965516,29
nepal,28.394857,84.124008,1513.6975522919447,107
nicaragua,12.865416,-85.207229,1563.1215266518543,61
norvege,60.472024,8.468946,835.7515467171718,32
pakistan,30.375321,69.345116,1302.3928536836067,219
panama,8.537981,-80.782127,1919.811276223776,36
perou,-9.189967,-75.015152,2206.687552056996,54
philippines,12.879721,121.774017,1973.4296172677673,865
pologne,51.919438,19.145136,1019.8870039682542,40
portugal,39.399872,-8.224454,1382.4268999970216,41
qatar,25.354826,51.183884,937.2569892473118,31
reunion,-21.115141,55.536384,905.2778647761089,487
roumanie,45.943161,24.96676,2075.554732510288,27
singapour,1.352083,103.819836,1059.7867808393928,67
suisse,46.818188,8.227512,674.3887180661219,156
taiwan,23.69781,120.960515,1372.5714118125882,204
thailande,15.870032,100.992541,1129.275149156399,132
turquie,38.963745,35.243322,1509.655115045321,97
ukraine,48.379433,31.16558,901.7125797813297,52
vanuatu,-15.376706,166.959158,785.1702237952237,111
venezuela,6.42375,-66.58973,799.3266036094802,73
