ouragan,2000,65
typhon,2000,11
ouragan,2001,87
typhon,2001,31
ouragan,2002,57
typhon,2002,15
ouragan,2003,44
typhon,2003,7
seisme,2003,1
inondation,2003,9
ouragan,2004,59
cyclone,2004,5
typhon,2004,23
tremblement de terre,2004,1
inondation,2004,31
seisme,2004,4
ouragan,2005,194
cyclone,2005,47
tremblement de terre,2005,2
typhon,2005,7
seisme,2005,18
inondation,2005,32
seisme,2006,38
cyclone,2006,17
ouragan,2006,27
inondation,2006,37
tremblement de terre,2006,4
typhon,2006,8
cyclone,2007,6
ouragan,2007,85
typhon,2007,13
seisme,2007,4
cyclone,2008,321
ouragan,2008,117
typhon,2008,73
typhon,2009,95
cyclone,2009,78
ouragan,2009,57
tremblement de terre,2009,2
ouragan,2010,166
cyclone,2010,213
tremblement de terre,2010,2
typhon,2010,70
seisme,2010,38
innondation,2010,161
innondation,2011,121
cyclone,2011,195
ouragan,2011,155
tremblement de terre,2011,2
typhon,2011,125
seisme,2011,319
cyclone,2012,203
ouragan,2012,326
innondation,2012,68
tremblement de terre,2012,1
typhon,2012,137
seisme,2012,140
innondation,2013,121
cyclone,2013,208
ouragan,2013,115
tremblement de terre,2013,1
typhon,2013,413
seisme,2013,122
ouragan,2014,97
cyclone,2014,246
seisme,2014,64
typhon,2014,200
innondation,2014,102
cyclone,2015,293
innondation,2015,80
ouragan,2015,100
typhon,2015,181
seisme,2015,67
innondation,2016,164
cyclone,2016,233
seisme,2016,161
ouragan,2016,177
typhon,2016,76
cyclone,2017,538
ouragan,2017,626
typhon,2017,113
seisme,2017,106
innondation,2017,117
cyclone,2018,48
innondation,2018,23
ouragan,2018,13
typhon,2018,3
seisme,2018,9
