cyclone,2009,78
innondation,2017,117
ouragan,2003,44
ouragan,2009,57
tremblement de terre,2011,2
typhon,2011,125
typhon,2005,7
cyclone,2012,203
ouragan,2012,326
typhon,2002,15
tremblement de terre,2005,2
cyclone,2006,17
inondation,2004,31
innondation,2014,102
ouragan,2006,27
typhon,2014,200
ouragan,2000,65
seisme,2011,319
seisme,2005,18
typhon,2008,73
typhon,2003,7
ouragan,2015,100
seisme,2014,64
cyclone,2015,293
innondation,2015,80
inondation,2005,32
ouragan,2007,85
ouragan,2001,87
typhon,2017,113
ouragan,2018,13
seisme,2006,38
typhon,2009,95
innondation,2012,68
typhon,2000,11
seisme,2017,106
cyclone,2018,48
innondation,2018,23
ouragan,2004,59
cyclone,2004,5
tremblement de terre,2006,4
typhon,2006,8
seisme,2003,1
cyclone,2013,208
ouragan,2013,115
typhon,2001,31
seisme,2018,9
seisme,2012,140
cyclone,2007,6
inondation,2003,9
innondation,2013,121
typhon,2015,181
tremblement de terre,2009,2
ouragan,2010,166
cyclone,2010,213
ouragan,2016,177
seisme,2015,67
innondation,2016,164
innondation,2010,161
ouragan,2002,57
cyclone,2016,233
inondation,2006,37
tremblement de terre,2012,1
typhon,2012,137
typhon,2018,3
typhon,2004,23
seisme,2016,161
cyclone,2011,195
ouragan,2011,155
tremblement de terre,2004,1
ouragan,2017,626
innondation,2011,121
cyclone,2017,538
ouragan,2005,194
seisme,2004,4
tremblement de terre,2013,1
typhon,2013,413
cyclone,2005,47
seisme,2010,38
typhon,2007,13
seisme,2013,122
ouragan,2014,97
cyclone,2008,321
ouragan,2008,117
cyclone,2014,246
typhon,2016,76
seisme,2007,4
tremblement de terre,2010,2
typhon,2010,70
